,0
0,影／北市发生当街掳人 被害人成功脱逃警追5嫌
1,民众赠送茶饮便当要逐层通报？高雄市消防局这样说
2,毒品嫌犯拍落警密录器并辱骂  还辩以为他们是坏人被诉
3,八旬翁迟未返家 疑因暴雨失足跌落高屏溪支流溺毙
4,月入15万代书酒驾撞死宪兵士官逃逸 赔钱和解判关3年半
5,高端疫苗股价剧烈波动！士检分他案 调查炒股、内线交易
6,闻麻将声却老抓不到人 高雄湖内警方守后门逮4人
7,「家人不给钱」闹寻短 警、消趁隙拉下轻熟女解危机
8,万华青山宫遶境引火警 「玉璧三王府」负责人获不起诉
9,陆网红瞎掰莫德纳疫苗是生理食盐水 台网友转传GG
10,警察开赌场还能随地捡到枪？包庇图利聚众赌博更审宣判
11,直击远洋渔船重镇防疫松散 渔工未戴罩趴趴走成破口
12,妇买饮料摔成重伤求偿百万 一双「厚底跟鞋」害她吞败
13,转传被指是谣言的日外相讯息 北市万华交警遭法办
14,营区饮酒性侵女兵全都录 趁机逃离求助连长
15,台中染疫笋农夫妻相继走了！儿媳视讯泪别女儿办后事
16,竹县副县长被爆传日外相发言假讯息 陈见贤：配合调查
17,租屋处自杀！豪宅成凶宅家属判赔300万 高院逆转判免赔：自杀者还考虑贬值？
18,雨夜偷排废水 彰化县6家养猪户最高罚2400万
19,嚣张诈团东欧被逮回台大闹检疫旅馆 48成员下场出炉
20,麦当劳遭骇客户个资外洩 北市法务局：应通知当事人
21,疑聚赌?鹿港深夜6人群聚吃东西 警稽查惊见通缉犯
22,有事吗？家门口烧香去晦求改运　好运没求到反被路人告
23,又见医卫甩锅！硬着头皮司法相验 警：别人小孩死不完
24,倒车撞上千万超跑  男子和解愿赔偿
25,乱传染疫谣言   南投张姓男子8人各罚1到5万元罚金
26,邻居因狗事纷争在她门前钉小人符咒 网友建议出这奇招
27,越南男移工寂寞难耐 网络交友急到超商买点数险被骗
28,前夫朝妻泼硫酸砍27刀藏尸行李箱  法官认「可教化」判无期
29,高雄里长服务处遭砸鸡蛋 警快打逮2嫌辩债务纠纷
30,高雄约打麻将…警登门6人鸟兽散 辩称：送肉粽来借厕所
31,排2小时刚打完疫苗...88岁桃园妇吃粽噎到 送医不治
32,90岁徐立德和张守一外遇对象还离不了婚 又为电梯槓上
33,高雄里长服务处遭砸蛋 警快打逮2嫌辩债务纠纷
34,工人没戴口罩称要吃饭但未拿便当 警方依法查处
35,男子疑对警用机车纵火烧毁踏垫！ 永和警调监视器追人
36,二仁溪南萣桥下发现浮尸 台南警用心帮他找到回家的路
37,顾可飞保健品塑化剂超标案 好市多及代理商应赔207万
38,进口中越隔离衣仿冒国内商贩售 众里科技负责人交保
39,碰！高雄妇幼队女警今晨清枪误击发 幸子弹打入清枪桶
40,桃园3岁男童曾因溺水脑麻 今呼吸微弱送医抢救仍不治
41,不戴口罩趴趴走 高雄男狂咳被逮吃第2张罚单
42,影／为少女出气她纠众踹少年下体凌虐 致颅内出血、腿骨折
43,机车起步摇晃就是酒驾？检察官：警察职权非毫无界线
44,台大生觉猫叫春太吵送到老家院子 违认养承诺还告爱妈
45,讨债变斗殴 15人群聚最低可罚90万
