,0
0,台驻港办业务调整 邱太三：港人来台停留改线上、居留临柜办理
1,旅游业预估正常营业最快明年6月 姚大光：产业还在吗？
2,6/28后有望放宽防疫规范！政院内部会议统整配套方案
3,都是为台湾好 江启臣：国民党防疫建议才是民意走向
4,美国捐250万剂莫德纳疫苗抵台 卢秀燕大赞及时雨
5,美国务院发言人发布赠台疫苗讯息 王定宇：代表台美官方互动
6,美赠250万疫苗抵台 蔡英文感谢：患难见真情
7,美赠台疫苗3个全球第一 王定宇：好友出手化解台湾内外压力
8,美赠250万剂疫苗即将抵台 蔡英文17点发表谈话
9,美国援台250万剂疫苗将抵台 陈其迈︰台美有患难般兄弟情谊
10,美250万剂疫苗今抵台  郑文灿：台美真朋友
11,感谢美捐疫苗 潘孟安戴上屏东限定「台美友好微笑口罩」
12,美援台250万剂莫德纳 侯友宜：情义永记在心 透过行动感恩
13,美赠250万剂疫苗 江启臣︰国际社会听到台湾人民声音
14,美赠莫德纳疫苗 吴钊燮赞友善之举︰台美关系坚若磐石
15,美登高疾呼 台海和平成国际新共识
16,美援疫苗提高3倍多 张惇涵透露总统及各界争取秘辛
17,美国赠台250万剂莫德纳疫苗 绿委纷纷致谢
18,美国赠我250万剂疫苗 苏贞昌：非常感动 
19,美250万剂疫苗将来台 蔡英文感谢拜登总统对台湾人民的大力支持
20,美赠250万剂莫德纳明抵台 外交部：感谢以实际行动助台抗疫
21,美捐赠我国疫苗加码至250万剂 政院：患难见真情
22,苗栗电子厂疫情获初步控制！ 苏贞昌 ：病毒打不倒团结人心
23,欧盟取消台湾旅游限制 我驻欧盟代表：台湾防疫成果获多数会员国肯定
24,美捐赠的75万剂疫苗何时到？苏揆：很快会有好消息
25,台海军情》陆军装甲586旅联训实弹测考  整排战车射击场面超震撼
26,台海军情》幻象战机返驻新竹基地  ASTAC电侦荚舱丶新式头盔超吸睛
27,中国军舰队群昨通过东部海域 我海军严密监控
28,谢长廷拜会台湾队奥运接待城 加码推广台湾水果
29,公布台湾已取得疫苗数量 蔡总统：政府会继续提高施打率
30,欧盟取消对台旅游限制 20日起赴德不受限 外交部：感谢
