,0
0,高嘉瑜爆疫苗争议后 最新「民调」跌破眼镜
1,「我很不爽！」林右昌怒轰柯P说谎甩锅 北市府：只是陈述事实
2,台湾何时帮莫德纳疫苗代工？ 财经专家揭这个时候
3,接受媒体访问 蔡英文：感谢媒体坚守报导岗位
4,港府要求我国驻港人员须签一中承诺书 行政院：严正谴责
5,曾对陈时中喊4字遭无视 侯友宜去年3月预言全实现
6,蔡英文反击「疫苗乞丐」说 罗智强回呛要战来战：没在怕啦
7,政府购买、研发疫苗「没有晚」？ 最新民调结果曝光
8,7月打国产疫苗？ 蔡英文：只是一个目标 没有说一定要什么时候
9,网传「美国捐赠疫苗 疑与军购案有关」 国防部：无稽之谈
10,驻港人员拒签一中承诺书 民进党：全力支持
11,港府要求签署「一中承诺书」 府：高度遗憾及谴责
12,陈亭妃为何捐2000个陆制面罩 游淑慧曝原因
13,台积电、鸿海买BNT得跟我方政府签约？ 蔡英文：保留各种可能性
14,蓝委形容台湾是「疫苗乞丐」？ 民进党：遗憾
15,「大家都知道高嘉瑜是你的好朋友」 王世坚怒轰柯文哲
16,绿营「蟑螂」突倾巢攻击马英九？知情人爆背后目的
17,绿营批罗智强「疫苗乞丐说」 黄子哲：又双标！
18,【政新鲜】人不如狗？网友批蔡悼念拜登爱犬 郑照新：在确诊家属伤口洒盐
19,范云喊「3＋11调查清楚」后 他忍不住呛一句话
20,台北市卫生局长狠批她得寸进尺 高嘉瑜回应了
21,议员揭3件事 让柯文哲防疫成绩死当
22,美援250万剂莫德纳疫苗 柯文哲：当你小弟给点安家费应该的
23,谈鸿海台积电采购疫苗 蔡英文：尊重代理、原厂制造、原厂直送
24,黄世杰澄清得寸进尺指高嘉瑜 起初说医护后来房务清洁员
25,台积电不只捐500万BNT「5大善举」网赞爆
26,金门古宁头发现9枚未爆弹 民众：数量之多近5年来仅见
27,应让长者停打AZ 陈以信一算怒轰CDC：为何不肯直说这些数字
28,蔡英文留言悼拜登爱犬 柯文哲：跟我无关
29,北农群聚案为何扩大 林佳新爆：这群人是幕后黑手
30,振兴医院违法给连战夫妇打疫苗 柯文哲：会罚！
31,跟进将邻长列施打对象 柯文哲批中央不负责
32,柯文哲指3＋11人祸是破口 直言防疫太多政治 陈培哲不该被K
33,北北基合作疫调？林右昌怒批柯文哲甩锅
34,卫生局爆禾馨领85瓶疫苗「没先给名单」 洪健益批柯文哲螺丝松掉
35,竹县防疫专家顾问咨询会议 决议暂缓自行采购疫苗
36,受访希望「3＋11」被调查清楚 网批范云：睁眼说瞎话
37,赖士葆：台湾人的心声 蔡英文听见了吗？
38,柯文哲主张按年龄打疫苗 批中央顺序添困扰
39,绿营侧翼护航超拚 蓝营青年部统计：日均发26.5则
40,两个月亏损400万 王浩宇喊话：柯市长拜托救救我们吧
41,叶毓兰》实联制不作防疫外使用竟自打脸
42,疫苗接种会议记录未公开 杨照批：民主体制败坏到什么程度
43,北市新冠疫情花6亿 柯文哲：市民免费打疫苗还要4亿
44,孕妇适合打疫苗吗？ 时力：请疾管署尽速研议
45,陆专线上毕业典礼 学生只穿吊嘎？校方澄清：争议照片为示意图
46,实联制遭滥用查案 民众党：指挥中心应查明
47,北农爆疫情柯文哲成箭靶 何志伟送暖：不该苛责 把事情做好最重要
48,电影院、图书馆要解禁了？ 行政院：还在评估
49,纾困贷款仅50万名额 蓝委质疑不够
50,绿控蓝提案为买大陆疫苗 国民党：要求买的是国际认证疫苗
51,北农群聚感染扩大 蓝议员秀公文呛：16日就要求设快筛站
52,Delta印度变种病毒已入侵？王鸿薇：台湾最害怕的事发生了
53,三级警戒28日是否解封？市议会蓝绿不同调
54,台湾疫苗不到500万剂 江启臣：群体免疫至少要3千万剂
55,吴敦义偕蓝营OpenKMT发动「全民点烛、祈福止灾」吁全台普筛
